article_id	variable	dependent_expert	independent_expert	central_expert	control_expert	dontknow_expert
6526	FAMSUFFR	1	0	0	0	0
6526	HAPIFWRK	1	0	0	0	0
6526	HOMEKID	1	0	0	0	0
6526	FEFAM	1	0	0	0	0
6526	FEJOBIND	1	0	0	0	0
6526	TWOINCS	1	0	0	0	0
6526	SEX	0	1	0	0	0
6526	FEPRESCH	1	0	0	0	0
6460	SERIOUSP	1	0	0	0	0
6460	CHARACTR	1	0	0	0	0
6460	IMBALNCE	1	0	0	0	0
6460	WAYRAISE	1	0	0	0	0
6460	STRESSES	1	0	0	0	0
6460	GENETICS	1	0	0	0	0
6460	GODSWILL	1	0	0	0	0
6460	MEDDOC	1	0	0	0	0
6460	MENTLDOC	1	0	0	0	0
6460	MENTLOTH	1	0	0	0	0
6460	RXMED	1	0	0	0	0
6460	MENTLHOS	1	0	0	0	0
6460	SEX	0	1	0	0	0
6460	RACE	0	1	0	0	0
6460	EDUC	0	1	0	0	0
6460	INCOME	0	1	0	0	0
6460	AGE	0	1	0	0	0
6460	MARITAL	0	1	0	0	0
6460	REGION	0	1	0	0	0
6463	SEX	0	1	0	0	0
6463	RACE	0	1	0	0	0
6463	EDUC	0	1	0	0	0
6463	WRKSTAT	0	1	0	0	0
6463	MARITAL	0	1	0	0	0
6463	CHILDS	0	1	0	0	0
6463	INCOME	0	1	0	0	0
6463	FEHIRE	0	1	0	0	0
6463	PARTYID	0	1	0	0	0
6463	TRADMOD	0	1	0	0	0
6463	ABDEFECT	0	1	0	0	0
6463	ABHLTH	0	1	0	0	0
6463	ABPOOR	0	1	0	0	0
6463	ABRAPE	0	1	0	0	0
6463	ABSINGLE	0	1	0	0	0
6463	ABANY	0	1	0	0	0
6463	FECHLD	0	1	0	0	0
6463	FEHELP	0	1	0	0	0
6463	FEPRESCH	0	1	0	0	0
6463	FEFAM	0	1	0	0	0
6463	FEMINIST	1	0	1	0	0
1210	SEX	0	0	0	1	0
1210	CHILDS	0	1	1	0	0
1210	AGE	0	1	1	0	0
1210	ATTEND	1	0	1	0	0
1210	MARITAL	0	1	1	0	0
1211	AGE	0	1	1	0	0
1211	RELIG	0	0	0	1	0
1211	ATTEND	1	0	1	0	0
1212	AGE	0	1	1	0	0
1212	ATTEND	1	0	1	0	0
1212	RELIG	0	0	0	1	0
1212	DENOM	0	0	0	1	0
